Adhyaaya # अध्यायः,Paada # पादः,Sutra_num सू. सं.,Sutra_krama सू. क्र. सं,Akaaraadi_krama अकारादि क्र. सं,Kaumudi_krama कौमुदी क्र. सं,Sutra_id पूर्ण सू. सं.,Sutra_type सूत्रलक्षणम्‌,Term संज्ञा,Metarule परिभाषा,Special_case अतिदेशः,Influence अधिकारः,Commentary व्याख्यानम्‌,Sutra_text सूत्रम्‌,PadacCheda पद्च्छेदः,SamasacCheda समासच्छेदः,Anuvrtti pada sutra # अनुवृत्ति-पदम् सूत्र-सङ्ख्या,PadacCheda_notes
1,1,1,11001,3288,16,1.1.1,संज्ञा,वृद्धिः,,,,1.1.1,वृद्धिरादैच् |,वृद्धिः १/१ आदैच् १/१,वृद्धिः १/१ आत्-ऐच् १/१,na,
1,1,2,11002,134,17,1.1.2,संज्ञा,गुणः,,,,1.1.2,अदेङ् गुणः |,अदेङ् १/१ गुणः १/१,अत्-एङ् १/१ गुणः १/१,na,
1,1,3,11003,595,34,1.1.3,परिभाषा,,,,,1.1.3,इको गुणवृद्धी |,इकः १/१ गुणवृद्धी १/२,इकः १/१ गुण-वृद्धी १/२,11001: वृद्धिः | 11002: गुणः,
1,1,4,11004,2034,2656,1.1.4,,,,,,1.1.4,न धातुलोप आर्धधातुके |,न ०/० धातुलोपे ७/१ आर्धधातुके ७/१,न ०/० धातु-लोपे ७/१ आर्धधातुके ७/१,11003: गुणवृद्धी,
1,1,5,11005,1335,2217,1.1.5,,,,,,1.1.5,क्क्ङिति च |,क्क्ङिति ७/१ च ०/०,ग्-क्-ङ्-इति ७/१ च ०/०,11003: गुणवृद्धी | 11004: न,
1,1,6,11006,1876,2190,1.1.6,,,,,,1.1.6,दीधीवेवीटाम् |,दीधीवेवीटाम् ६/३,दीधी-वेवी-इटाम् ६/३,11003: गुणवृद्धी | 11004: न,
1,1,7,11007,3926,30,1.1.7,संज्ञा,संयोगः,,,,1.1.7,हलोऽनन्तराः संयोगः |,हलः १/३ अनन्तराः १/३ संयोगः १/१,हलः १/३ अनन्तराः १/३ संयोगः १/१,na,
1,1,8,11008,2787,9,1.1.8,संज्ञा,अनुनासिकः,,,,1.1.8,मुखनासिकावचनोऽनुनासिकः |,मुखनासिकावचनः १/१ अनुनासिकः १/१,मुख-नासिका-वचनः १/१ अनुनासिकः १/१,na,
1,1,9,11009,1759,10,1.1.9,संज्ञा,सवर्णम्‌,,,,1.1.9,तुल्यास्यप्रयत्नं सवर्णम् |,तुल्यास्यप्रयत्नं १/१ सवर्णम् १/१,तुल्य-आस्य-प्रयत्नं १/१ सवर्णम् १/१,na,
1,1,10,11010,2141,13,1.1.10,संज्ञा,सवर्णम्‌,,,,1.1.10,नाज्झलौ |,न ०/० अज्झलौ १/२,न ०/० अच्-हलौ १/२,11009: तुल्यास्यप्रयत्नं सवर्णम्,
1,1,11,11011,683,100,1.1.11,संज्ञा,प्रगृह्यम्‌,,,,1.1.11,ईदूदेद्द्विवचनं प्रगृह्यम् |,ईदूदेद् १/१ द्विवचनं १/१ प्रगृह्यम् १/१,ईत्-ऊत्-एत् १/१ द्विवचनं १/१ प्रगृह्यम् १/१,na,
1,1,12,11012,129,101,1.1.12,संज्ञा,प्रगृह्यम्‌,,,,1.1.12,अदसो मात् |,अदसः ६/१ मात् ५/१,अदसः ६/१ मात् ५/१,11011: ईदूदेद् प्रगृह्यम्,
1,1,13,11013,3424,102,1.1.13,संज्ञा,प्रगृह्यम्‌,,,,1.1.13,शे |,शे १/१ (लुप्तप्रथमान्तो निर्देशः),शे १/१ (लुप्तप्रथमान्तो निर्देशः),11011: प्रगृह्यम्,0/0
1,1,14,11014,2190,103,1.1.14,संज्ञा,प्रगृह्यम्‌,,,,1.1.14,निपात एकाजनाङ् |,निपातः १/१ एकाच् १/१ अनाङ् १/१,निपातः १/१ एक-अच् १/१ अन्-आङ् १/१,11011: प्रगृह्यम्,
1,1,15,11015,936,104,1.1.15,संज्ञा,प्रगृह्यम्‌,,,,1.1.15,ओत् |,ओत् १/१,ओत् १/१,11011: प्रगृह्यम् | 11014: निपातः,
1,1,16,11016,3665,105,1.1.16,संज्ञा,प्रगृह्यम्‌,,,,1.1.16,सम्बुद्धौ शाकल्यस्येतावनार्षे |,सम्बुद्धौ ७/१ शाकल्यस्य ६/१ इतौ ७/१ अनार्षे ७/१,सम्बुद्धौ ७/१ शाकल्यस्य ६/१ इतौ ७/१ अनार्षे ७/१,11011: प्रगृह्यम् | 11015: ओत्,
1,1,17,11017,702,106,1.1.17,संज्ञा,प्रगृह्यम्‌,,,,1.1.17,उञः |,उञः ६/१,उञः ६/१,11011: प्रगृह्यम् | 11016: शाकल्यस्य इतौ अनार्षे,
1,1,18,11018,829,107,1.1.18,संज्ञा,प्रगृह्यम्‌,,,,1.1.18,ऊँ |,ऊँ १/१ (लुप्तप्रथमान्तो निर्देशः),ऊँ १/१ (लुप्तप्रथमान्तो निर्देशः),11011: प्रगृह्यम् | 11016: शाकल्यस्य इतौ अनार्षे,0/0
1,1,19,11019,682,109,1.1.19,संज्ञा,प्रगृह्यम्‌,,,,1.1.19,ईदूतौ च सप्तम्यर्थे |,ईदूतौ १/२ च ०/० सप्तम्यर्थे ७/१,ईत्-ऊतौ १/२ च ०/० सप्तमी-अर्थे ७/१,11011: प्रगृह्यम्,
1,1,20,11020,1845,2373,1.1.20,संज्ञा,घु,,,,1.1.20,दाधा घ्वदाप् |,दाधाः १/३ घु १/१ अदाप् १/१,दा-धाः १/३ घु १/१ अ-दाप् १/१,na,
1,1,21,11021,532,348,1.1.21,परिभाषा,,,,,1.1.21,आद्यन्तवदेकस्मिन् |,आद्यन्तवत् ०/० एकस्मिन् ७/१,आदि-अन्त-वत् ०/० एकस्मिन् ७/१,na,
1,1,22,11022,1674,2003,1.1.22,संज्ञा,घः,,,,1.1.22,तरप्तमपौ घः |,तरप्तमपौ १/२ घः १/१,तरप्-तमपौ १/२ घः १/१,na,
1,1,23,11023,2583,258,1.1.23,संज्ञा,संख्या,,,,1.1.23,बहुगणवतुडति संख्या |,बहुगणवतुडति १/१ संख्या १/१,बहु-गण-वतु-डति १/१ संख्या १/१,na,
1,1,24,11024,3500,369,1.1.24,संज्ञा,षट्‌,,,,1.1.24,ष्णान्ता षट् |,ष्णान्ता १/१ षट् १/१,ष्-ण्-अन्ता १/१ षट् १/१,11023: संख्या,
1,1,25,11025,1569,259,1.1.25,संज्ञा,षट्‌,,,,1.1.25,डति च |,डति १/१ च ०/०,डति १/१ च ०/०,11023: संख्या | 11024: षट्,
1,1,26,11026,1177,3012,1.1.26,संज्ञा,निष्ठा,,,,1.1.26,क्तक्तवतू निष्ठा |,क्तक्तवतू १/२ निष्ठा १/१,क्त-क्तवतू १/२ निष्ठा १/१,na,
1,1,27,11027,3690,213,1.1.27,संज्ञा,सर्वनाम,,,,1.1.27,सर्वादीनि सर्वनामानि |,सर्वादीनि १/३ सर्वनामानि १/३,सर्व-आदीनि १/३ सर्वनामानि १/३,na,
1,1,28,11028,3206,292,1.1.28,संज्ञा,सर्वनाम,,,,1.1.28,विभाषा दिक्समासे बहुव्रीहौ |,विभाषा १/१ दिक्समासे ७/१ बहुव्रीहौ ७/१,विभाषा १/१ दिक्समासे ७/१ बहुव्रीहौ ७/१,11027: सर्वादीनि सर्वनामानि,
1,1,29,11029,2045,222,1.1.29,संज्ञा,सर्वनाम,,,,1.1.29,न बहुव्रीहौ |,न ०/० बहुव्रीहौ ७/१,न ०/० बहुव्रीहौ ७/१,11027: सर्वादीनि सर्वनामानि,
1,1,30,11030,1775,223,1.1.30,संज्ञा,सर्वनाम,,,,1.1.30,तृतीयासमासे |,तृतीयासमासे ७/१,तृतीया-समासे ७/१,11027: सर्वादीनि सर्वनामानि | 11029: न,
1,1,31,11031,1941,224,1.1.31,संज्ञा,सर्वनाम,,,,1.1.31,द्वन्द्वे च |,द्वन्द्वे ७/१ च ०/०,द्वन्द्वे ७/१ च ०/०,11027: सर्वादीनि सर्वनामानि | 11029: न,
1,1,32,11032,3202,225,1.1.32,संज्ञा,सर्वनाम,,,,1.1.32,विभाषा जसि |,विभाषा १/१ जसि ७/१,विभाषा १/१ जसि ७/१,11027: सर्वादीनि सर्वनामानि | 11029: न | 11031: द्वन्द्वे,
1,1,33,11033,2484,226,1.1.33,संज्ञा,सर्वनाम,,,,1.1.33,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च |,प्रथमचरमतयाल्पार्धकतिपयनेमाः १/३ च ०/०,प्रथम-चरम-तय-अल्प-अर्ध-कतिपय-नेमाः १/३ च ०/०,11027: सर्वनामानि | 11032: विभाषा जसि,
1,1,34,11034,2421,218,1.1.34,संज्ञा,सर्वनाम,,,,1.1.34,पूर्वपरावरदक्षिणोत्तरापराधराणि,पूर्वपरावरदक्षिणोत्तरापराधराणि १/३ व्यवस्थायाम् ७/१ असंज्ञायाम् ७/१,पूर्व-पर-अवर-दक्षिण-उत्तर-अपर-अधराणि १/३ व्यवस्थायाम् ७/१ असंज्ञायाम् ७/१,11027: सर्वनामानि | 11032: विभाषा जसि,
1,1,35,11035,3871,219,1.1.35,संज्ञा,सर्वनाम,,,,1.1.35,स्वमज्ञातिधनाख्यायाम् |,स्वम् १/१ अज्ञातिधनाख्यायाम् ७/१,स्वम् १/१ अज्ञाति-धनाख्यायाम् ७/१,11027: सर्वनामानि | 11032: विभाषा जसि,
1,1,36,11036,240,220,1.1.36,संज्ञा,सर्वनाम,,,,1.1.36,अन्तरं बहिर्योगोपसंव्यानयोः |,अन्तरं १/१ बहिर्योगोपसंव्यानयोः ७/२,अन्तरं १/१ बहिर्योग-उपसंव्यानयोः ७/२,11027: सर्वनामानि | 11032: विभाषा जसि,
1,1,37,11037,3875,447,1.1.37,संज्ञा,अव्ययम्‌,,,,1.1.37,स्वरादिनिपातमव्ययम् |,स्वरादिनिपातम् १/१ अव्ययम् १/१,स्वर्-आदि-निपातम् १/१ अव्ययम् १/१,na,
1,1,38,11038,1648,448,1.1.38,संज्ञा,अव्ययम्‌,,,,1.1.38,तद्धितश्चासर्वविभक्तिः |,तद्धितः १/१ च ०/० असर्वविभक्तिः १/१,तद्धितः १/१ च ०/० अ-सर्व-विभक्तिः १/१,11037: अव्ययम्,
1,1,39,11039,1155,449,1.1.39,संज्ञा,अव्ययम्‌,,,,1.1.39,कृन्मेजन्तः |,कृत् १/१ मेजन्तः १/१,कृत् १/१ म्-एच्-अन्तः १/१,11037: अव्ययम्,
1,1,40,11040,1190,450,1.1.40,संज्ञा,अव्ययम्‌,,,,1.1.40,क्त्वातोसुन्कसुनः |,क्त्वातोसुन्कसुनः १/३,क्त्वा-तोसुन्-कसुनः १/३,11037: अव्ययम्,
1,1,41,11041,405,451,1.1.41,संज्ञा,अव्ययम्‌,,,,1.1.41,अव्ययीभावश्च |,अव्ययीभावः १/१ च ०/०,अव्ययीभावः १/१ च ०/०,11037: अव्ययम्,
1,1,42,11042,3393,313,1.1.42,संज्ञा,सर्वनामस्थानम्,,,,1.1.42,शि सर्वनामस्थानम् |,शि १/१ सर्वनामस्थानम् १/१,शि १/१ सर्वनामस्थानम् १/१,na,
1,1,43,11043,3753,229,1.1.43,संज्ञा,सर्वनामस्थानम्,,,,1.1.43,सुडनपुंसकस्य |,सुट् १/१ अनपुंसकस्य ६/१,सुट् १/१ अ-नपुंसकस्य ६/१,11042: सर्वनामस्थानम्,
1,1,44,11044,2069,24,1.1.44,संज्ञा,विभाषा,,,,1.1.44,न वेति विभाषा |,न ०/० वा ०/० इति ०/० विभाषा १/१,न ०/० वा ०/० इति ०/० विभाषा १/१,na,
1,1,45,11045,604,328,1.1.45,संज्ञा,सम्प्रसारणम्,,,,1.1.45,इग्यणः सम्प्रसारणम् |,इक् १/१ यणः ६/१ सम्प्रसारणम् १/१,इक् १/१ यणः ६/१ सम्प्रसारणम् १/१,na,
1,1,46,11046,533,36,1.1.46,परिभाषा,,,,,1.1.46,आद्यन्तौ टकितौ |,आद्यन्तौ १/२ टकितौ १/२,आदि-अन्तौ १/२ ट-क्-इतौ १/२,na,
1,1,47,11047,2781,37,1.1.47,परिभाषा,,,,,1.1.47,मिदचोऽन्त्यात्परः |,मित् १/१ अचः ६/१ अन्त्यात् ५/१ परः १/१,मित् १/१ अचः ६/१ अन्त्यात् ५/१ परः १/१,na,
1,1,48,11048,903,323,1.1.48,परिभाषा,,,,,1.1.48,एच इग्घ्रस्वादेशे |,एचः ६/१ इक् १/१ ह्रस्वादेशे ७/१,एचः ६/१ इक् १/१ ह्रस्व-आदेशे ७/१,na,
1,1,49,11049,3487,38,1.1.49,परिभाषा,,,,,1.1.49,षष्ठी स्थानेयोगा |,षष्ठी १/१ स्थानेयोगा १/१,षष्ठी १/१ स्थाने-योगा १/१,na,
1,1,50,11050,3835,39,1.1.50,परिभाषा,,,,,1.1.50,स्थानेऽन्तरतमः |,स्थाने ७/१ अन्तरतमः १/१,स्थाने ७/१ अन्तरतमः १/१,11049: स्थाने,
1,1,51,11051,818,70,1.1.51,परिभाषा,,,,,1.1.51,उरण् रपरः |,उः ६/१ अण् १/१ रपरः १/१,उः ६/१ अण् १/१ र-परः १/१,11049: स्थाने,
